,ticker,current_price,sector,industry,pe_ttm,roa_ttm,roe_ttm,debt_equity_ratio_mrq,current_ratio_mrq,div_yield_ttm,div_yield_5y_avg,revenue2019,revenue_ttm,revenue_5yr,revenue_3yr,ebitda2019,ebitda_5yr,ebitda_3yr,cfo2019,cfo_5yr,cfo_3yr,fcfe2019,fcfe_5yr,fcfe_3yr,fcfe_per_share2019,fcfe_per_share_5yr,fcfe_per_share_3yr,fcfe_yield2019,fcfe_yield_avg_5yr,fcfe_yield_avg_3yr,FCFE_IRR_based_5yr,FCFE_IRR_based_3yr,iv_3yr_discount,iv_5yr_discount
0,amat,63.0,Technology,Semiconductor Equipment & Materials,20.09,0.1132,0.3386,78.22,2.67,1.4,1.5,14608000000.0,15430000000.0,0.09996164979456323,0.1050534368635907,3713000000.0,0.1439924203095433,0.13475282006397404,3247000000.0,0.12523169509141607,0.09603836410272892,2806000000.0,0.12473008038350142,0.08234400019993893,2.969312169312169,0.18580576984165798,0.14403778464546457,0.06525084993894789,0.06571861979232871,0.06685850470932439,0.0513813489595929,0.035055357702080236,-0.194469332323292,-0.3127481471601319
1,hum,391.0,Healthcare,Healthcare Plans,20.03,0.0688,0.2254,65.75,1.65,0.58,0.64,64888000000.0,67720000000.0,0.059947927338482865,0.06065749711508994,3697000000.0,0.05632539561535088,0.2084079827879004,5284000000.0,0.2670590591171389,0.39745538027235505,4148000000.0,0.4770573130553464,0.4331565094887999,30.79970446989287,0.5208137424149835,0.488398529943745,0.10911767815447042,0.060074365021536805,0.07662163669811717,0.24119495982624706,0.2270243829527745,-0.8671661864865343,-0.8818964444064699
2,intc,49.0,Technology,Semiconductors,9.11,0.1163,0.3015,46.76,1.98,2.55,2.62,71965000000.0,78960000000.0,0.051934095246180645,0.0661227231473327,31239000000.0,0.06569027403992855,0.1773654974508876,33145000000.0,0.10174468676762971,0.14972683542502274,14305000000.0,0.06762950853593064,0.10220062112440176,3.1980773530069304,0.09411306058137292,0.13427400598617623,0.06365345568309054,0.057118860454228725,0.04263441821058894,0.07495215927326204,0.09218648037729782,-0.3962849790437537,-0.2967011982141845
3,pgr,87.0,Financial Services,Insurance—Property & Casualty,11.7,0.0642,0.2917,32.36,0.5,3.02,2.2,39022300000.0,40540000000.0,0.15011360189745737,0.18513837696638902,239800000.0,0.1981908251679494,0.20396192661394275,6261600000.0,0.29404398303680357,0.32330468265347023,5951400000.0,0.2966976381381592,0.34102039081953794,10.135217983651225,0.30003696878194375,0.3393437095095917,0.14195381293569512,0.15212988296138458,0.15659179751324825,0.1550153932013636,0.17054959184130847,-0.8442666272036305,-0.8195243863895809
4,schw,33.0,Financial Services,Capital Markets,14.16,0.0097,0.12539999999999998,27.6,0.3,2.0,1.0,10721000000.0,10380000000.0,0.12093700197805646,0.12757316104885885,349000000.0,0.11890823475840628,0.1425206795915308,9325000000.0,0.31761991281726987,0.5186654581536867,8617000000.0,0.34716680644066766,0.551047110301135,6.528030303030303,0.34716680644066766,0.559228302501608,0.15351821960678239,0.08060224432587368,0.108888518623114,0.25629399232348904,0.3522356187295492,-0.9590410841022696,-0.9109311398686041
5,ajg,103.0,Financial Services,Insurance Brokers,29.06,0.0249,0.1435,105.59,1.07,1.67,2.54,7195000000.0,6830000000.0,0.09233448954464762,0.08745618862490412,474400000.0,0.12876237843267413,0.10583584286216019,1119200000.0,0.2270762029316531,0.2162065325769953,980400000.0,0.25035630554444577,0.40387782984767484,5.16,0.19892754600505302,0.37527515303062065,0.061462953755223905,0.056395795684009264,0.05163016690357602,0.07843380083481422,0.15325466519922304,-0.6832798799177784,-0.38486160013177617
6,lrcx,358.0,Technology,Semiconductor Equipment & Materials,25.77,0.1227,0.4267,116.53,4.47,1.32,1.49,9653559000.0,9610000000.0,0.1594393160316161,0.1792825392449402,2774013000.0,0.23388375599166267,0.2665380285076415,3176013000.0,0.3466870608653987,0.32986457813690384,2754869000.0,0.37044713712051514,0.5615100627379646,17.227083137917017,0.39458511987338185,0.6096244268473239,0.08442973214093484,0.048667524117173136,0.04823820194836328,0.16218031493108964,0.2573495934279286,-0.8592769259425139,-0.6930823124142811
7,ctas,298.0,,,36.79,0.0962,0.281,83.62,2.61,0.84,1.0,6892303000.0,7090000000.0,0.08651570714422552,0.12001372282670686,1357165000.0,0.13042534539326955,0.13367167285256976,1067862000.0,0.11924906277834801,0.07800212222238523,791143000.0,0.11750331434563721,0.11685610134813507,7.14278902032925,0.14074435872524793,0.1199290478518098,0.030786837439391194,0.03019119747262477,0.018338032494016773,0.051044906919098576,0.04171323408902716,0.7360631454802509,0.603931490898802
8,payx,72.0,Industrials,Staffing & Employment Services,23.88,0.106,0.4066,33.65,1.23,3.44,3.07,3772500000.0,4040000000.0,0.084135746606669,0.08518967131022892,1552800000.0,0.07379475615846753,0.0716430073438874,1271500000.0,0.07616273880864233,0.07685660081431167,1147700000.0,0.07571149932396404,0.07629585924053806,3.1660689655172414,0.07783964774479046,0.07629585924053806,0.04007017896125097,0.04724255267715919,0.04411468895799304,0.024662509109894426,0.024037694725039582,0.11693040567553248,0.110405672590004
9,rost,85.0,Consumer Cyclical,Apparel Retail,32.6,0.0725,0.307,223.37,1.75,0.92,0.91,14983541000.0,14090000000.0,0.07930643956117622,0.07861578010233194,330357000.0,0.09894629365921492,0.06325683039560093,2066677000.0,0.1512352717467067,0.1593353985382695,1567779000.0,0.2716360747270079,0.17788862813832407,4.206792458905543,0.14000928650757483,0.21239667556683428,0.04163063789003926,0.0422152419579709,0.04460252194306983,0.06189505679937479,0.09244918078134567,-0.408369730612136,-0.2210324167579074
10,adbe,437.0,Technology,Software—Infrastructure,57.67,0.1144,0.3555,43.17,1.29,,,11171297000.0,12050000000.0,0.21919325444332816,0.24031017417584,4004790000.0,0.40700529090061877,0.29942150523776534,4421813000.0,0.2798876287282144,0.2620222798231888,4027334000.0,0.29066717223457905,0.2636368788349539,8.192765251072071,0.2994261777465377,0.2744483674368048,0.029351949396779545,0.03161070373278837,0.03312176248063802,0.046746122822149516,0.03646315068668882,0.23494900075876712,0.12403822022950362
11,cdns,105.0,Technology,Software—Application,28.95,0.1005,0.5513,30.86,1.42,,,2336319000.0,2440000000.0,0.08124419824269702,0.08758156138103645,614585000.0,0.13781134380939442,0.19021370516881908,729600000.0,0.1816294836701975,0.17925342168666503,654995000.0,0.1878982476750981,0.18652432051029688,2.3349731743400532,0.2093500218386628,0.2014776535322027,0.03625266017668193,0.046531785895955136,0.04095838402722948,0.012745660957685923,0.009610117082634373,0.3724221424801779,0.33201926786132874
12,regn,637.0,Healthcare,Biotechnology,32.01,0.1077,0.2113,5.89,4.21,,,7863400000.0,8320000000.0,0.2276820269595432,0.1739195897226613,2420100000.0,0.22118009441582887,0.19015599617240087,2430000000.0,0.2673750119050866,0.18146724605745512,2000400000.0,0.37362066474589684,0.2765917151039581,17.455497382198953,0.37076327329408687,0.2831188158616358,0.05083448656961366,0.029746282746483534,0.03880926380306406,0.1051731952941688,0.0683120421250536,-0.18227900658103824,-0.411175749402066
13,biib,286.0,Healthcare,Drug Manufacturers—General,8.41,0.1831,0.4938,69.43,2.46,,,14377900000.0,14490000000.0,0.08181994770421941,0.07888510876130628,7723200000.0,0.10629706715247722,0.0980662835689603,7078600000.0,0.19194864839998593,0.16105550106664746,7078600000.0,0.21698415608538957,0.16461119341841846,37.7726787620064,0.2756900111577174,0.22632230553443144,0.1433935114734179,0.082722779903978,0.10094965948942675,0.180482257880751,0.15988739899843463,-0.7897014591290301,-0.8255174654493869
14,rop,420.0,Industrials,Specialty Industrial Machinery,27.03,0.0559,0.1849,55.01,0.96,0.47,0.57,5366800000.0,5430000000.0,0.08619998621051561,0.12294002663546855,1547600000.0,0.08266666341272177,0.12329012288626773,1461800000.0,0.11705908584464053,0.1489379323889488,1409100000.0,0.11909566853125364,0.14999473465930557,13.407231208372979,0.10996971720298832,0.14029989127107823,0.03943695622510193,0.04876429306112755,0.04596649931947517,0.002629723819977503,0.014631636635040524,0.20637332036979816,0.3538549559543407
15,intu,296.0,Technology,Software—Application,58.41,0.1311,0.3035,13.99,1.79,0.71,0.9,6784000000.0,6860000000.0,0.08527282966585048,0.13059984062441843,2053000000.0,0.07084419092824112,0.12626061182736437,2324000000.0,0.09954641311530366,0.18374639537750914,2198000000.0,0.10371014491453145,0.30672901019589527,8.325757575757576,0.12541538238111416,0.3083766768279892,0.03284243255331946,0.037916542424074,0.03392707685901105,0.015003431590076444,0.09203218329997598,-0.2755897993230839,0.44885308674941693
16,len,73.0,Consumer Cyclical,Residential Construction,11.0,0.0573,0.13119999999999998,53.73,8.45,0.47,0.34,22259561000.0,22620000000.0,0.23398391451737854,0.26674899500045335,92200000.0,0.19058206162712055,0.2244625065953192,1482343000.0,0.12832833367258756,0.42911997030221993,1395846000.0,0.11484182567548618,0.45122323147919596,4.333115585716357,0.061501224638263796,0.3008759748472074,0.0841062263937331,0.07650453816808304,0.08700321071475305,0.015443194033082586,0.10744592027301891,-0.646910756936544,-0.1248037135893948
17,lmt,382.0,Industrials,Aerospace & Defense,16.75,0.106,1.9303,334.76,1.31,2.43,2.56,59812000000.0,62920000000.0,0.05575876678204894,0.0817615765007913,9734000000.0,0.08126942615795452,0.12899142859842172,7311000000.0,0.13590755177201563,0.12105281781288468,4927000000.0,0.10277361699892196,0.15784968214936046,17.35917335473515,0.13123327183333378,0.18354113869027322,0.051213799217853385,0.05109823277544949,0.04408822852133098,0.049967246153728606,0.07178330644650543,-0.2810434275571311,-0.12283430930759198
18,el,192.0,Consumer Defensive,Household & Personal Products,54.41,0.1036,0.2926,203.3,1.62,0.95,1.15,14863000000.0,15450000000.0,0.06264810476406235,0.09687156825513954,2870000000.0,0.05344411604109078,0.12326072636822838,2517000000.0,0.10393537619722659,0.12058195505896596,1773000000.0,0.11582727770581691,0.11956947451443889,4.786717062634989,0.12918054567119786,0.12578101626492777,0.027392555322976457,0.0377823764326818,0.033661766871354325,0.004883882271217388,0.003497902575758216,0.6323601975671811,0.6113921299090692
19,amzn,3055.0,,,,,,,,,,280522000000.0,,0.2581345711013716,0.27295395740541006,36330000000.0,1.8971373100378845,1.0549003955655611,38514000000.0,0.41282090130556637,0.32800650343873716,18969000000.0,0.9551283421674144,0.4803969067695266,37.56237623762376,0.928880823866606,0.46159490758795574,0.020996819342785578,0.019945855556228253,0.020454187969812448,0.31408704767673545,0.11061565345895796,-0.06154408047283266,-0.8138120036065611
20,mco,289.0,Financial Services,Financial Data & Stock Exchanges,35.94,0.1321,2.7292,911.92,1.7,0.71,1.14,4829000000.0,4980000000.0,0.07688792324672544,0.10241523417090481,2198000000.0,0.07448619239416954,0.42133943414945385,1675000000.0,0.1045928504739917,0.10957958261906531,1606000000.0,0.11212783157333095,0.1307107531702183,8.382045929018789,0.13773735469264436,0.13813625079778147,0.04297981772586536,0.04589066972506741,0.03815839208499077,0.015456995597002976,0.015619101934284618,0.3387305706505688,0.34076314924508466
21,bkng,1702.0,,,,,,,,,,15066000000.0,,0.12282176225898356,0.11931541768601872,5814000000.0,0.12121852591731219,0.21824864729979865,4865000000.0,0.10791598059231156,0.074209843874814,4497000000.0,0.1007413361263052,0.06671791444909236,103.35792594635592,0.14514983468030307,0.11778981256113719,0.055259015030913114,0.05144441571545233,0.051914599053605626,0.07647468855112693,0.06514798938678101,-0.3091790247124565,-0.3774470183009083
22,algn,308.0,Healthcare,Medical Devices,14.38,0.0527,0.8065000000000001,1.78,1.22,,,2406796000.0,2160000000.0,0.25874113458998305,0.30620235729202894,621483000.0,0.2406569338861373,0.3155816060217027,747270000.0,0.26919687204202836,0.4449785904560315,597563000.0,0.24125254402020424,0.4998762315280212,7.460212234706617,0.24794565099964938,0.5084645773738079,0.029928368594237892,0.025367767887449398,0.02080869070627708,0.08965086897997132,0.20838637441213437,-0.5983605363965927,0.05653867256482292
23,crm,190.0,,,0.0,,,,,,,13282000000.0,,0.26681270613525143,0.2582386057040542,1517000000.0,0.78655766036718,0.3328171570798928,3398000000.0,0.3115852392131524,0.26661634670893175,2672000000.0,0.3792860150740218,0.26969996254328965,3.447741935483871,0.3094170739772466,0.20451333123170468,0.02223277003763224,0.02310935820280608,0.023775024418592614,0.07408659987180855,0.02912629373599751,0.6626248745726118,0.11850495853907028
24,cbre,42.0,,,,,,,,,,23894091000.0,,0.21430888812318227,0.2226776614697663,1699099000.0,0.09951098379627177,0.12843823259210474,1223380000.0,0.13075768403601606,0.3952986887065526,929866000.0,0.13644793135882605,0.530947272745746,2.7307005760561673,0.1328096583317493,0.5284205698872471,0.05336401787987078,0.044625833836435924,0.05130561319679988,0.07940270614908362,0.2530140235668261,-0.8607862932473367,-0.390577078470696
25,ma,308.0,Financial Services,Credit Services,39.47,0.2232,1.4774,226.74,1.87,0.48,0.59,16883000000.0,17000000000.0,0.12251568108213151,0.16142413373378361,10186000000.0,0.13419772034925592,0.18416610185524052,8183000000.0,0.1915385111136625,0.22200675757867883,7261000000.0,0.1757230075646019,0.1936648490250512,7.104696673189824,0.20775192954781763,0.22365822809044,0.027913345025814953,0.035144386255809935,0.032102153411789444,0.03263346200396877,0.03925953004269944,0.21629505177295716,0.29193942934597894
26,antm,263.0,Healthcare,Healthcare Plans,14.29,0.0548,0.1549,72.91,1.53,1.24,1.4,104213000000.0,109170000000.0,0.07123792366412895,0.07085712951011414,147000000.0,0.06658026930000771,0.1222501075223612,6061000000.0,0.11261733595434453,0.23666511476647867,3861000000.0,0.2636923217077942,0.13783033650285503,14.835171624713958,0.28761031727048336,0.14923466819881703,0.054151649013321895,0.0359933004559983,0.02691196835694268,0.1812107869021118,0.11643080255915539,-0.34010224125541855,-0.6094193219107398
27,cme,167.0,Financial Services,Financial Data & Stock Exchanges,25.15,0.0178,0.0904,15.69,1.01,1.84,1.83,4868000000.0,5200000000.0,0.0935741653604425,0.1062962762539017,2746400000.0,0.07635698798039581,0.05604458548269897,2672800000.0,0.15659453557299718,0.15915980035996324,2427200000.0,0.15940296814067145,0.14327192004100553,6.775365049589799,0.14467968431614442,0.12239251624795311,0.03592792183484406,0.04638144523535644,0.040955504992598896,0.04836074336450524,0.039119651547720125,0.01609086667348847,-0.0664858741035741
28,ftnt,136.0,Technology,Software—Infrastructure,64.19,0.0727,0.4663000000000001,8.04,1.32,,,2156200000.0,2260000000.0,0.22856634000230147,0.19124674810477527,405800000.0,0.3790777818883617,0.6431065062658301,808000000.0,0.3267024230222766,0.32705326136474433,715800000.0,0.3421031683368809,0.3697090326700634,4.090285714285714,0.333226814434894,0.37319062638096145,0.048526781937078274,0.05084171843128403,0.05584750361220028,0.07337468261324509,0.08953106028682001,-0.4683315254420358,-0.38280477395071943
29,dlr,151.0,,,,,,,,,,3209241000.0,,0.14701383447963456,0.1442143123783386,1757989000.0,0.17136450757536825,0.13679530956608188,1513817000.0,0.18208508750011987,0.18388794747450676,1513817000.0,0.18208508750011987,0.18388794747450676,6.930724423935098,0.07583789012534514,0.05162856957786932,0.06043408081880951,0.07095729976787182,0.0597778376375658,0.011711744334333307,0.002455633277932412,0.1749659040427598,0.0719315811717145
30,expe,84.0,,,,,,,,,,12067000000.0,,0.15926528044714683,0.11208113604967829,1615000000.0,0.15562712199498852,0.19820464892532508,2767000000.0,0.15146497991800412,0.20934896019255778,1607000000.0,0.09122888521533445,0.25394574836129347,10.721624723119213,0.06572406809439624,0.26673364041287284,0.08761688563486796,0.052857914448063106,0.05794256648970344,0.11808884006242071,0.20695851788769848,-0.813248834238453,-0.5994571833681063
31,fb,233.0,Communication Services,Internet Content & Information,32.04,0.134,0.21850000000000006,10.27,4.6,,,70697000000.0,73360000000.0,0.41492940608794715,0.36757513010422604,29727000000.0,0.366580023017258,0.26257311570785347,36314000000.0,0.46091190137630833,0.31119028176555674,21212000000.0,0.44363008509450186,0.22223249732687944,7.375521557719054,0.4216902724769924,0.2291340365840877,0.04062676200430439,0.03330267746072766,0.03635261273031975,0.14867857589430966,0.06579263896522236,-0.1318728381718085,-0.577926343497859
32,ldos,90.0,Technology,Information Technology Services,21.95,0.0557,0.1791,144.74,0.67,1.47,2.15,11094000000.0,11410000000.0,0.14027227988415625,0.1635103387396053,1146000000.0,0.36369004080595513,0.28584226770805454,992000000.0,0.390258826394545,0.30531110232486225,887000000.0,0.7703970968338012,0.8372550136991492,6.117241379310345,0.5931562069813285,0.643711511487538,0.08129269652156414,0.05403711479586737,0.05938040312747156,0.2752766467097556,0.2981291377197115,-0.9116487996901376,-0.8943812708925427
33,acn,223.0,Technology,Information Technology Services,29.22,0.1293,0.3282,21.31,1.37,1.45,1.74,43215013000.0,44550000000.0,0.06276628470155954,0.0748760731280631,7197834000.0,0.07900930895553993,0.09120590451745136,6626953000.0,0.13709089927745066,0.13144104143060442,6027944000.0,0.13717966833902762,0.138673358714148,9.26629824918355,0.13726722653100998,0.14864765463510943,0.05195444511353697,0.056101466089527485,0.05356694502900824,0.03144296051940909,0.03597198617984998,-0.10219576888051751,-0.06248248769427034
34,abbv,97.0,Healthcare,Drug Manufacturers—General,17.2,0.118,,,3.14,4.63,3.96,33266000000.0,34060000000.000008,0.10756190406904498,0.09069094962631552,13447000000.0,0.28796960946224304,0.1108676595325575,13324000000.0,0.3028839224521729,0.2368703909995833,11236000000.0,0.3078006738572858,1.7301128253527946,7.571428571428571,0.32929065553760695,1.8174264095640265,0.104737186134797,0.05823899224177518,0.08241144810363893,0.1531360195025273,0.8246232211708058,-0.9977568908731889,-0.7586577277890574
35,zts,146.0,Healthcare,Drug Manufacturers—Specialty & Generic,43.99,0.1248,0.6355,242.97,2.77,0.48,0.63,6260000000.0,6340000000.0,0.05520897938970459,0.0859524194043868,412000000.0,0.15094192357211633,0.19734921895869806,1795000000.0,0.23451969803834993,0.36033208606846556,1335000000.0,0.24020641612065408,0.9253872802714675,2.7709340434673413,0.250454884471478,0.9470379906238187,0.025292367690422164,0.020209455627341756,0.024399470231519022,0.05134492678207336,0.3594492498351838,-0.8862833450763994,0.3356424650759673
36,anet,245.0,Technology,Computer Hardware,24.85,0.1298,0.3038,2.76,5.82,,,2410706000.0,2340000000.0,0.3277934326963814,0.2876101088355072,838623000.0,0.4398050837715899,0.4715215242957258,963034000.0,0.5309291417263442,0.9421191002642126,947283000.0,0.5635212127095632,1.0494479124606633,11.712348075520222,0.4453041246504317,0.9826235608652818,0.04737775818151751,0.035042234502224726,0.03977049541636255,0.19984489784447002,0.44775164429100145,-0.959744766227705,-0.7437820089893896
